i,ID,MIG.grey,Aniso.grey,Timestamp,DateAndTime,PLOT,CAM
185,WSCT0187.JPG,0.27751197,0.990088924,22/06/2016 14:34,2015:06:21 12:00:01,LADERA,3
186,WSCT0188.JPG,0.153793182,0.971572823,22/06/2016 14:35,2015:06:21 13:00:01,LADERA,3
187,WSCT0189.JPG,0.146976991,0.974574947,22/06/2016 14:35,2015:06:21 14:00:01,LADERA,3
188,WSCT0190.JPG,0.23939941,0.964547143,22/06/2016 14:35,2015:06:22 09:00:01,LADERA,3
189,WSCT0191.JPG,0.1878352,0.932938709,22/06/2016 14:35,2015:06:22 10:00:01,LADERA,3
190,WSCT0192.JPG,0.197025748,0.95005008,22/06/2016 14:36,2015:06:22 11:00:01,LADERA,3
191,WSCT0193.JPG,0.193081871,0.950267844,22/06/2016 14:36,2015:06:22 12:00:01,LADERA,3
192,WSCT0194.JPG,0.204571295,0.978944613,22/06/2016 14:36,2015:06:22 13:00:01,LADERA,3
193,WSCT0195.JPG,0.183819542,0.97457121,22/06/2016 14:37,2015:06:22 14:00:01,LADERA,3
194,WSCT0196.JPG,0.190958969,0.96285302,22/06/2016 14:37,2015:06:23 09:00:01,LADERA,3
195,WSCT0197.JPG,0.186790963,0.957804777,22/06/2016 14:37,2015:06:23 10:00:01,LADERA,3
196,WSCT0198.JPG,0.175469484,0.953570703,22/06/2016 14:38,2015:06:23 11:00:01,LADERA,3
197,WSCT0199.JPG,0.191662484,0.955025817,22/06/2016 14:38,2015:06:23 12:00:01,LADERA,3
198,WSCT0200.JPG,0.192287457,0.982347505,22/06/2016 14:38,2015:06:23 13:00:01,LADERA,3
199,WSCT0201.JPG,0.180326937,0.98968321,22/06/2016 14:39,2015:06:23 14:00:01,LADERA,3
200,WSCT0202.JPG,0.160262638,0.953788351,22/06/2016 14:39,2015:06:24 09:00:01,LADERA,3
201,WSCT0203.JPG,0.184004814,0.9407829,22/06/2016 14:39,2015:06:24 10:00:01,LADERA,3
202,WSCT0204.JPG,0.196784123,0.959183724,22/06/2016 14:39,2015:06:24 11:00:01,LADERA,3
203,WSCT0205.JPG,0.181689004,0.954210787,22/06/2016 14:40,2015:06:24 12:00:01,LADERA,3
204,WSCT0206.JPG,0.18724687,0.985244317,22/06/2016 14:40,2015:06:24 13:00:01,LADERA,3
205,WSCT0207.JPG,0.181563006,0.992930035,22/06/2016 14:40,2015:06:24 14:00:01,LADERA,3
206,WSCT0208.JPG,0.236608284,0.96733694,22/06/2016 14:41,2015:06:25 09:00:01,LADERA,3
207,WSCT0209.JPG,0.18460644,0.94400825,22/06/2016 14:41,2015:06:25 10:00:01,LADERA,3
208,WSCT0210.JPG,0.195641583,0.956385095,22/06/2016 14:41,2015:06:25 11:00:01,LADERA,3
209,WSCT0211.JPG,0.184391812,0.955023785,22/06/2016 14:42,2015:06:25 12:00:01,LADERA,3
210,WSCT0212.JPG,0.193454278,0.984280156,22/06/2016 14:42,2015:06:25 13:00:01,LADERA,3
211,WSCT0213.JPG,0.177810564,0.992913932,22/06/2016 14:42,2015:06:25 14:00:01,LADERA,3
212,WSCT0214.JPG,0.168793843,0.957703679,22/06/2016 14:42,2015:06:26 09:00:01,LADERA,3
213,WSCT0215.JPG,0.188372605,0.939677076,22/06/2016 14:43,2015:06:26 10:00:01,LADERA,3
214,WSCT0216.JPG,0.179428805,0.948519952,22/06/2016 14:43,2015:06:26 11:00:01,LADERA,3
215,WSCT0217.JPG,0.204651687,0.966083088,22/06/2016 14:43,2015:06:26 12:00:01,LADERA,3
